predator,prey
2287,136000
2287,10
2287,0.01
2287,1
2287,11.5
136000,280
136000,215.2
136000,4.8
136000,6.9
136000,18.6
136000,2554.85
136000,5104.9
136000,3259.5
136000,13127
136000,22994.5
136000,40
136000,13012.1
136000,2287
136000,1500
136000,10
136000,11.5
1500,280
1500,215.2
1500,4.8
1500,18.6
1500,2554.85
1500,5104.9
1500,3259.5
1500,13127
1500,22994.5
1500,40
1500,909000
1500,13012.1
1500,68000
1500,82040.3
1500,26127.38
1500,82000
1500,2287
1500,136000
1500,1500
1500,10
1500,0.01
1500,1
1500,11.5
0.009725089,0.009725089
0.009725089,0.006806781
0.009725089,0.004084892
0.009725089,0.002756309
0.009725089,0.001826495
0.009725089,0.000866805
0.009725089,0.000739607
0.009725089,0.000608069
0.009725089,0.000507692
0.009725089,0.000474846
0.009725089,0.000422085
0.009725089,0.000325866
0.009725089,0.000215041
0.009725089,0.000172753
0.009725089,0.000157114
0.009725089,0.000101879
0.009725089,0.0000949
0.009725089,0.0000474
0.009725089,0.0000417
0.009725089,0.0000355
0.009725089,0.0000243
0.009725089,0.0000131
0.009725089,0.00000863
0.009725089,0.00000571
0.009725089,0.00000509
0.009725089,0.0000038
0.009725089,0.00000354
0.000474846,0.002756309
0.000474846,0.000172753
0.000474846,0.000157114
0.000474846,0.0000417
0.000474846,0.0000355
0.000474846,0.0000131
0.000474846,0.00000863
0.000474846,0.00000571
0.000474846,0.00000509
0.000474846,0.0000038
0.000157114,0.004084892
0.000157114,0.002756309
0.000157114,0.000608069
0.000157114,0.000325866
0.000157114,0.000215041
0.000157114,0.000172753
0.000157114,0.000157114
0.000157114,0.000101879
0.000157114,0.0000949
0.000157114,0.0000474
0.000157114,0.0000417
0.000157114,0.0000355
0.000157114,0.0000131
0.000157114,0.00000863
0.000157114,0.00000571
0.000157114,0.00000509
0.000157114,0.0000038
0.000157114,0.00000354
0.006806781,0.002756309
0.006806781,0.000172753
0.006806781,0.000101879
0.006806781,0.0000417
0.006806781,0.0000355
0.006806781,0.0000131
0.006806781,0.00000571
0.006806781,0.00000509
0.006806781,0.0000038
0.000739607,0.009725089
0.000739607,0.006806781
0.000739607,0.004084892
0.000739607,0.002756309
0.000739607,0.000739607
0.000739607,0.000608069
0.000739607,0.000474846
0.000739607,0.000380134
0.000739607,0.000325866
0.000739607,0.000215041
0.000739607,0.000172753
0.000739607,0.000157114
0.000739607,0.000101879
0.000739607,0.0000949
0.000739607,0.0000474
0.000739607,0.0000417
0.000739607,0.0000355
0.000739607,0.0000243
0.000739607,0.0000131
0.000739607,0.00000863
0.000739607,0.00000571
0.000739607,0.00000509
0.000739607,0.0000038
0.000739607,0.00000354
0.002756309,0.009725089
0.002756309,0.006806781
0.002756309,0.004084892
0.002756309,0.002756309
0.002756309,0.001826495
0.002756309,0.000739607
0.002756309,0.000608069
0.002756309,0.000474846
0.002756309,0.000380134
0.002756309,0.000325866
0.002756309,0.000215041
0.002756309,0.000172753
0.002756309,0.000157114
0.002756309,0.000101879
0.002756309,0.0000949
0.002756309,0.0000474
0.002756309,0.0000417
0.002756309,0.0000355
0.002756309,0.0000131
0.002756309,0.00000863
0.002756309,0.00000571
0.002756309,0.00000509
0.002756309,0.0000038
0.002756309,0.00000354
0.000325866,0.000608069
0.000325866,0.000325866
0.000325866,0.000215041
0.000325866,0.000172753
0.000325866,0.000157114
0.000325866,0.000101879
0.000325866,0.0000474
0.000325866,0.0000417
0.000325866,0.0000355
0.000325866,0.00000863
0.000325866,0.00000571
0.000325866,0.00000509
0.000325866,0.0000038
0.000325866,0.00000354
0.0000355,0.001826495
0.0000355,0.000739607
0.0000355,0.000608069
0.0000355,0.000380134
0.0000355,0.000215041
0.0000355,0.000172753
0.0000355,0.000157114
0.0000355,0.000101879
0.0000355,0.0000474
0.0000355,0.0000417
0.0000355,0.0000355
0.0000355,0.0000131
0.0000355,0.00000863
0.0000355,0.00000571
0.0000355,0.00000509
0.0000355,0.0000038
0.0000355,0.00000354
0.00000863,0.000608069
0.00000863,0.000172753
0.00000863,0.000157114
0.00000863,0.000101879
0.00000863,0.0000474
0.00000863,0.0000417
0.00000863,0.0000355
0.00000863,0.0000243
0.00000863,0.0000131
0.00000863,0.00000863
0.00000863,0.00000571
0.00000863,0.00000509
0.00000863,0.0000038
0.0000586,0.000116
0.0000563,0.000231
0.0000563,0.000651
0.0000455,0.000231
0.0000455,0.00021
0.0000455,0.00021
0.000113,0.000231
0.000113,0.00021
0.000113,0.00021
0.0000687,0.000231
0.0000687,0.00021
